what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169016661
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20080818,org.eclipse.equinox.p2.ui.sdk.update,1583169016671
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169137722
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169157852
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169164458
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169558493
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.help.aboutAction,1583169558500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1583169569421
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169765531
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169772583
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169784519
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169786889
started,bundle,org.eclipse.mylyn.resources.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.resources.ui,1583169786918
started,bundle,org.eclipse.mylyn.pde.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.pde.ui,1583169786945
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1583169786964
closed,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1583169787107
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1583169787323
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1583169787324
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.205.v200805140145,org.eclipse.jst.server.generic.jboss,1583169787325
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1583169787411
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1583169787519
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1583169787677
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1583169787680
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1583169787752
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1583169787752
